Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,159.330002,159.960007,158.589996,159.270004,158.310684,30710200
2019-01-15,160.000000,162.600006,159.910004,162.380005,161.401962,40874200
2019-01-16,162.649994,163.779999,162.289993,162.350006,161.372147,33812200
2019-01-17,161.830002,164.360001,161.570007,163.630005,162.644424,39329000
2019-01-18,164.779999,166.020004,163.820007,165.250000,164.254669,57183200
2019-01-22,164.059998,164.139999,160.759995,161.940002,160.964615,56711700
2019-01-23,162.770004,163.509995,160.320007,162.149994,161.173325,38106100
2019-01-24,162.679993,163.440002,162.059998,163.199997,162.217010,32417800
2019-01-25,164.509995,165.649994,163.949997,165.149994,164.155258,36515900
2019-01-28,163.020004,163.119995,161.750000,163.110001,162.127563,33491200
2019-01-29,163.199997,163.240005,160.990005,161.570007,160.596848,30784200
2019-01-30,163.399994,166.279999,162.889999,165.679993,164.682068,41346500
2019-01-31,166.699997,168.990005,166.470001,168.160004,167.147156,37258400
2019-02-01,167.330002,168.600006,166.990005,167.449997,166.441406,32143700
2019-02-04,167.479996,169.529999,167.330002,169.529999,168.508896,26718800
2019-02-05,169.759995,171.229996,169.690002,171.029999,169.999847,28156400
2019-02-06,171.070007,171.369995,169.750000,170.520004,169.492935,27970000
2019-02-07,169.029999,169.449997,166.949997,168.229996,167.216721,42036200
2019-02-08,166.759995,168.589996,166.570007,168.559998,167.544724,29020700
2019-02-11,169.169998,169.580002,167.979996,168.399994,167.385681,21434100
2019-02-12,169.630005,171.139999,169.330002,170.889999,169.860703,29722100
2019-02-13,171.649994,172.160004,170.820007,171.009995,169.979965,26094100
2019-02-14,170.399994,171.830002,169.830002,171.220001,170.188705,30326800
2019-02-15,172.520004,172.559998,171.139999,171.940002,170.904373,32521700
2019-02-19,171.410004,172.800003,171.380005,172.279999,171.242310,19487700
2019-02-20,172.399994,173.080002,171.320007,172.250000,171.212509,32593000
2019-02-21,171.789993,172.259995,170.710007,171.619995,170.586288,25207400
2019-02-22,171.990005,173.009995,171.899994,172.889999,171.848663,27735400
2019-02-25,174.210007,174.660004,173.399994,173.520004,172.474869,32608800
2019-02-26,173.100006,174.250000,172.809998,173.699997,172.653778,21939700
2019-02-27,172.899994,173.800003,171.759995,173.589996,172.544434,25162000
2019-02-28,173.050003,173.809998,172.699997,173.190002,172.146851,25085500
2019-03-01,174.440002,174.649994,173.179993,174.389999,173.339615,31431200
2019-03-04,175.539993,175.789993,172.470001,174.419998,173.369431,38063500
2019-03-05,174.550003,175.089996,173.690002,174.550003,173.498657,22319900
2019-03-06,174.720001,174.750000,173.279999,173.559998,172.514618,27194600
2019-03-07,173.119995,173.179993,170.789993,171.429993,170.397430,39407400
2019-03-08,169.509995,171.259995,169.339996,171.169998,170.139008,39303200
2019-03-11,171.880005,174.850006,171.850006,174.729996,173.677582,30518400
2019-03-12,175.190002,176.139999,174.770004,175.690002,174.631790,33953500
2019-03-13,176.600006,177.929993,176.350006,177.009995,175.943832,42426100
2019-03-14,177.130005,177.339996,176.660004,176.710007,175.645645,23751500
2019-03-15,177.399994,178.880005,177.279999,178.350006,177.275772,38192000
2019-03-18,177.949997,178.990005,177.589996,178.449997,177.697968,32935100
2019-03-19,179.179993,180.000000,178.289993,179.050003,178.295441,36893300
2019-03-20,179.059998,180.860001,178.240005,179.759995,179.002457,50105000
2019-03-21,179.220001,182.830002,179.199997,182.570007,181.800613,42428500
2019-03-22,181.779999,182.270004,178.369995,178.559998,177.807510,70794500
2019-03-25,177.910004,178.839996,176.929993,178.220001,177.468948,46336500
2019-03-26,179.600006,180.690002,178.139999,179.050003,178.295441,33248100
2019-03-27,179.320007,179.720001,176.600006,177.899994,177.150284,37096700
2019-03-28,178.360001,178.979996,177.240005,178.309998,177.558563,30368200
2019-03-29,179.690002,179.830002,178.589996,179.660004,178.902878,35205500
2019-04-01,181.509995,182.259995,180.770004,182.039993,181.272842,30969500
2019-04-02,182.240005,182.910004,181.779999,182.729996,181.959930,22645200
2019-04-03,183.759995,184.919998,183.210007,183.779999,183.005508,31633500
2019-04-04,183.830002,184.500000,182.649994,183.710007,182.935822,28530800
2019-04-05,184.240005,184.770004,184.020004,184.660004,183.881805,25674700
2019-04-08,184.360001,185.279999,183.630005,185.130005,184.349823,22697500
2019-04-09,184.500000,185.110001,184.089996,184.479996,183.702560,25631900
2019-04-10,184.720001,185.529999,184.520004,185.470001,184.688400,24563000
2019-04-11,185.779999,185.779999,184.690002,185.029999,184.250259,20654100
2019-04-12,185.850006,185.949997,185.059998,185.830002,185.046875,24989100
2019-04-15,185.839996,186.070007,184.619995,185.860001,185.076752,21073000
2019-04-16,186.539993,186.910004,185.929993,186.500000,185.714050,27195700
2019-04-17,187.750000,187.929993,186.600006,187.149994,186.361313,29651600
2019-04-18,187.460007,187.789993,186.289993,187.389999,186.600296,28580900
2019-04-22,186.570007,187.990005,186.429993,187.919998,187.128067,17936000
2019-04-23,188.399994,190.539993,188.130005,190.309998,189.507996,33665600
2019-04-24,190.470001,190.710007,189.649994,189.710007,188.910522,24977100
2019-04-25,191.130005,191.220001,189.449997,190.479996,189.677277,29517500
2019-04-26,190.179993,190.690002,188.589996,190.649994,189.846558,26359500
2019-04-29,190.649994,191.320007,190.339996,191.020004,190.215012,21716200
2019-04-30,189.479996,189.850006,188.210007,189.539993,188.741241,31495300
2019-05-01,190.779999,191.320007,188.800003,188.929993,188.133804,34797100
2019-05-02,188.869995,189.850006,186.869995,188.110001,187.317261,44110100
2019-05-03,189.669998,191.250000,189.330002,191.110001,190.304626,30386200
2019-05-06,187.050003,190.199997,186.759995,189.940002,189.139557,38371800
2019-05-07,187.869995,188.669998,184.509995,186.240005,185.455154,58818100
2019-05-08,185.630005,187.169998,184.960007,185.770004,184.987137,37165300
